id,prompt_type,temperature,nodes,edges,density,clustering,path_len,avg_deg,max_deg,std_deg,diameter,transitivity,file_path
emo_edge_list_complex_0.25,complex,0.25,1216,16117,0.02181746805284817,0.5052372410890849,2.5411928741607106,26.508223684210527,447,39.27391910472779,6.0,0.2019237612312072,emo_edges_complex/emo_edge_list_complex_0.25.txt
emo_edge_list_complex_0.5,complex,0.5,1330,17897,0.020250400267033272,0.5000344729092738,2.564685981318986,26.91278195488722,446,40.86780340828978,6.0,0.204552253547159,emo_edges_complex/emo_edge_list_complex_0.5.txt
emo_edge_list_complex_1.25,complex,1.25,1500,21338,0.018979764287302647,0.5070962309345272,2.5439297309317324,28.450666666666667,497,43.97598851898866,5.0,0.1933347019239175,emo_edges_complex/emo_edge_list_complex_1.25.txt
emo_edge_list_complex_1.5,complex,1.5,1612,23530,0.018121383232214013,0.5051846127767525,2.541837060038538,29.193548387096776,540,46.53974270109777,5.0,0.19278018619030463,emo_edges_complex/emo_edge_list_complex_1.5.txt
emo_edge_list_complex_0.75,complex,0.75,1386,19368,0.02017909887945989,0.49941124312548557,2.5344398080860175,27.948051948051948,447,42.35163612026906,5.0,0.19835552203846368,emo_edges_complex/emo_edge_list_complex_0.75.txt
emo_edge_list_complex_1.0,complex,1.0,1449,20777,0.019805047489409727,0.5043166139970559,2.528047538977157,28.677708764665287,515,43.54864877592849,5.0,0.1926294840136004,emo_edges_complex/emo_edge_list_complex_1.0.txt
emo_edge_list_complex_0.001,complex,0.001,955,11142,0.024459152425170404,0.5044703231920212,2.5367139736793,23.334031413612564,311,32.6394301738298,5.0,0.2058697735571097,emo_edges_complex/emo_edge_list_complex_0.001.txt
emo_edge_list_vague_1.0,vague,1.0,1710,24142,0.01652209321822207,0.46854926562853344,2.58394806990169,28.23625730994152,649,42.4816613482165,6.0,0.17068876902991026,emo_edges_vague/emo_edge_list_vague_1.0.txt
emo_edge_list_vague_0.25,vague,0.25,1501,19575,0.01738840772818121,0.46952104713481774,2.564914945591828,26.082611592271817,539,38.86228230711144,5.0,0.1679658716307931,emo_edges_vague/emo_edge_list_vague_0.25.txt
emo_edge_list_vague_1.5,vague,1.5,1853,26262,0.015305283942098447,0.47139479727456884,2.5998643260185164,28.345385860766324,730,44.24305478773375,6.0,0.16482272921176117,emo_edges_vague/emo_edge_list_vague_1.5.txt
emo_edge_list_vague_0.001,vague,0.001,1261,13569,0.01708017068841811,0.47161894860842785,2.607550067343882,21.52101506740682,576,30.966594432356878,6.0,0.1603660021176484,emo_edges_vague/emo_edge_list_vague_0.001.txt
emo_edge_list_vague_1.25,vague,1.25,1901,27058,0.01498269608793156,0.46944866476528846,2.5823062654004816,28.467122567069964,791,44.80891215719745,6.0,0.16425886314061855,emo_edges_vague/emo_edge_list_vague_1.25.txt
emo_edge_list_vague_0.5,vague,0.5,1547,20648,0.017266653900091234,0.48111055943396525,,26.69424692954105,618,40.34770001429112,,0.17291188013481257,emo_edges_vague/emo_edge_list_vague_0.5.txt
emo_edge_list_vague_0.75,vague,0.75,1671,22792,0.01633501399355687,0.47236159823267915,,27.279473369239977,677,41.91742249660832,,0.17025738826527798,emo_edges_vague/emo_edge_list_vague_0.75.txt
