prompt_type,temperature,mean,std
complex,0.001,0.44942943360167953,
complex,0.25,0.45059279799279905,
complex,0.5,0.4658364053439135,
complex,0.75,0.4833049283135155,
complex,1.0,0.4839860621048068,
complex,1.25,0.49671988374325643,
complex,1.5,0.5201581535705823,
vague,0.001,0.35773012032304363,
vague,0.25,0.328826863020565,
vague,0.5,0.3193063563814159,
vague,0.75,0.31632750473194393,
vague,1.0,0.3093926492518044,
vague,1.25,0.985112243123214,
vague,1.5,0.3105315308002756,
